# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)   0.140 us    |                    } /* mem_cgroup_uncharge_list */
 0)   0.141 us    |                    free_unref_page_list();
 0)   0.932 us    |                  } /* release_pages */
 0)   2.344 us    |                } /* free_pages_and_swap_cache */
 0)   6.563 us    |              } /* tlb_flush_mmu */
 0)               |              free_pages() {
 0)               |                free_pages.part.0() {
 0)               |                  __free_pages() {
 0)               |                    free_unref_page() {
 0)   0.140 us    |                      free_pcp_prepare();
 0)   0.241 us    |                      free_unref_page_prepare.part.0();
 0)   0.190 us    |                      free_unref_page_commit();
 0)   1.132 us    |                    }
 0)   1.413 us    |                  }
 0)   1.693 us    |                }
 0)   1.943 us    |              }
 0)   8.947 us    |            } /* tlb_finish_mmu */
 0) + 67.637 us   |          } /* unmap_region */
 0)               |          remove_vma() {
 0)               |            fput() {
 0)               |              fput_many() {
 0)               |                task_work_add() {
 0)               |                  kick_process() {
 0)   0.130 us    |                    preempt_count_add();
 0)   0.141 us    |                    preempt_count_sub();
 0)   0.691 us    |                  }
 0)   0.982 us    |                }
 0)   1.412 us    |              }
 0)   1.663 us    |            }
 0)               |            vm_area_free() {
 0)               |              kmem_cache_free() {
 0)   0.170 us    |                __slab_free();
 0)   0.511 us    |              }
 0)   0.802 us    |            }
 0)   2.956 us    |          }
 0)   0.140 us    |          preempt_count_add();
 0)   0.130 us    |          preempt_count_sub();
 0) + 75.051 us   |        } /* __do_munmap */
 0)   0.131 us    |        up_read();
 0) + 75.862 us   |      } /* __vm_munmap */
 0) + 76.924 us   |    } /* __x64_sys_munmap */
 0)               |    syscall_slow_exit_work() {
 0)               |      __audit_syscall_exit() {
 0)               |        path_put() {
 0)   0.130 us    |          dput();
 0)   0.150 us    |          mntput();
 0)   0.671 us    |        }
 0)   0.131 us    |        unroll_tree_refs();
 0)   0.150 us    |        kfree();
 0)   1.502 us    |      }
 0)   1.784 us    |    }
 0)               |    exit_to_usermode_loop() {
 0)               |      task_work_run() {
 0)               |        _raw_spin_lock_irq() {
 0)   0.130 us    |          preempt_count_add();
 0)   0.400 us    |        }
 0)               |        _raw_spin_unlock_irq() {
 0)   0.130 us    |          preempt_count_sub();
 0)   0.400 us    |        }
 0)               |        ____fput() {
 0)               |          __fput() {
 0)   0.171 us    |            __fsnotify_parent();
 0)   0.170 us    |            fsnotify();
 0)   0.160 us    |            locks_remove_file();
